CENTRO;ENSEÑANZA;LOCALIDAD;PROVINCIA;IDIOMA
CEIP AGUSTINA DE ARAGÓN;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP ALFREDO MUIÑOS  ;INFANTIL/PRIMARIA;REMOLINOS;ZARAGOZA;INGLÉS
CEIP ALTO ARAGÓN;INFANTIL/PRIMARIA;BARBASTRO;HUESCA;INGLÉS
CEIP ANGEL ESCORIAZA;INFANTIL/PRIMARIA;LA CARTUJA BAJA ;ZARAGOZA;INGLÉS
CEIP ANTONIO MARTÍNEZ GARAY;INFANTIL/PRIMARIA;CASETAS;ZARAGOZA;INGLÉS
CEIP ARAGÓN;INFANTIL/PRIMARIA;MONZÓN;HUESCA;INGLÉS
CEIP AREN ;INFANTIL/PRIMARIA;AREN;HUESCA;INGLÉS
CEIP ASTRONOMO ZARZOSO;INFANTIL/PRIMARIA;CELLA;TERUEL;INGLÉS
CEIP ASUNCIÓN PAÑART;INFANTIL/PRIMARIA;AINSA;HUESCA;FRANCÉS
CEIP BALTASAR GRACIÁN;INFANTIL/PRIMARIA;CALATAYUD;ZARAGOZA;INGLÉS
CEIP BASILIO PARAÍSO;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP BRIANDA DE LUNA;INFANTIL/PRIMARIA;ALFAJARIN ;ZARAGOZA;INGLÉS
CEIP CALIXTO ARIÑO;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;ALEMÁN
CEIP CAMPO DE BORJA;INFANTIL/PRIMARIA;BORJA;ZARAGOZA;INGLÉS
CEIP CÁNDIDO DOMINGO;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP CATALINA DE ARAGÓN;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP CERVANTES;INFANTIL/PRIMARIA;EJEA DE LOS CABALLEROS;ZARAGOZA;INGLÉS
CEIP CÉSAR AUGUSTO;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP CESÁREO ALIERTA;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP COMARCA CUENCAS MINERAS;INFANTIL/PRIMARIA;MONTALBAN;TERUEL;INGLÉS 
CEIP COMPROMISO DE CASPE;INFANTIL/PRIMARIA;CASPE;ZARAGOZA;INGLÉS
CEIP CORTES DE ARAGÓN;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP DOCTOR AZÚA;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP DOMINGO MIRAL ;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP EL JUSTICIA DE ARAGÓN;INFANTIL/PRIMARIA;ALCORISA;TERUEL;INGLÉS
CEIP EL PARQUE;INFANTIL/PRIMARIA;HUESCA;HUESCA;INGLÉS 
CEIP ENSANCHE;INFANTIL/PRIMARIA;TERUEL;TERUEL;INGLÉS
CEIP EUGENIO LÓPEZ Y LÓPEZ;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP FERNÁNDEZ VIZARRA;INFANTIL/PRIMARIA;MONZALBARBA;ZARAGOZA;INGLÉS
CEIP FERNANDO EL CATÓLICO;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP FERRER Y RACAJ;INFANTIL/PRIMARIA;EJEA DE LOS CABALLEROS;ZARAGOZA;INGLÉS
CEIP FLORIÁN REY;INFANTIL/PRIMARIA;LA ALMUNIA DE DOÑA GODINA;ZARAGOZA;INGLÉS 
CEIP FORO ROMANO;INFANTIL/PRIMARIA;CUARTE DE HUERVA;ZARAGOZA;INGLÉS
CEIP GASCÓN Y MARÍN;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP GUILLERMO FATÁS;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP HERMANOS MARX;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP HILARIÓN GIMENO;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP INFANTA ELENA;INFANTIL/PRIMARIA;UTEBO;ZARAGOZA;INGLÉS
CEIP JERÓNIMO BLANCAS Y TOMÁS;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP JERÓNIMO ZURITA Y CASTRO;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP JOAQUÍN COSTA;INFANTIL/PRIMARIA;GRAUS;HUESCA;INGLÉS
CEIP JOAQUÍN COSTA;INFANTIL/PRIMARIA;MONZÓN;HUESCA;INGLÉS
CEIP JOAQUÍN COSTA;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP JOAQUÍN COSTA ;INFANTIL/PRIMARIA;TARAZONA;ZARAGOZA;INGLÉS
CEIP JOSÉ ANTONIO LABORDETA SUBÍAS;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP JOSÉ MARÍA MIR;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;FRANCÉS
CEIP JOSEFA AMAR Y BORBÓN;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP JUAN LORENZO PALMIRENO;INFANTIL/PRIMARIA;ALCAÑIZ;TERUEL;INGLÉS
CEIP JUAN SOBRARÍAS;INFANTIL/PRIMARIA;ALCAÑIZ;TERUEL;INGLÉS
CEIP JUAN XXIII;INFANTIL/PRIMARIA;HUESCA;HUESCA;INGLÉS
CEIP JULIÁN NIETO TAPIA;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP JULIÁN SANZ IBÁÑEZ;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
CEIP KATIA ACÍN;INFANTIL/PRIMARIA;BINEFAR;HUESCA;INGLÉS
CEIP LA ALMOZARA;INFANTIL/PRIMARIA;ZARAGOZA;ZARAGOZA;INGLÉS
